0x95eea4,Trainee Palette,Base Palette,Second Base Palette (For Trainees),First Promotion Palette,Second Promotion Palette,Third Promotion Palette,Fourth Promotion Palette
Devan,0x0,0x1,0x0,0x0,0x0,0x0,0x0
Ronni,0x0,0x3,0x0,0x4,0x0,0x0,0x0
Anthony,0x0,0x5,0x0,0x25,0x2a,0x0,0x0
Kenneth,0x0,0x7,0x0,0x3d,0x29,0x0,0x0
Moulder,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Vanessa,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ross,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Neimi,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Colm,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Garcia,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Innes,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lute,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Natasha,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Cougar,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ephraim,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Forde,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Kyle,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Amelia,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Artur,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gerik,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Tethys,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Marisa,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Saleh,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ewan,0x0,0x0,0x0,0x0,0x0,0x0,0x0
L'Arachel,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Dozla,0x0,0x0,0x0,0x0,0x0,0x0,0x0
-,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Rennac,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Duessel,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Myrrh,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Knoll,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Joshua,0x0,0x0,0x0,0x0,0x0,0x0,0x0
