INLINE ItemTable,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit/Def,Wt,Crit/Res,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Nothing,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x0,0,NoRank,0x0,0x0,NoEffect,0,0x0,0x0,0x0
Iron Sword,IronSwordName,0x404,0x0,0x1,Sword,IsWeapon,0x0,0x0,40,6,100,5,0,0x11,10,ERank,IronSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Steel Sword,SteelSwordName,0x405,0x0,0x2,Sword,IsWeapon,0x0,0x0,30,10,90,8,0,0x11,20,DRank,SteelSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Sword,SilverSwordName,0x406,0x0,0x3,Sword,IsWeapon,0x0,0x0,20,14,80,11,0,0x11,65,BRank,SilverSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Brave Sword,BraveSwordName,BraveDesc,0x0,0x4,Sword,IsWeapon|IsBrave,0x0,0x0,30,10,90,13,0,0x11,125,ARank,BraveSwordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Killing Edge,KillingEdgeName,KillerDesc,0x0,0x5,Sword,IsWeapon,0x0,0x0,20,9,85,8,20,0x11,65,CRank,KillingEdgeIcon,0x0,NoEffect,1,0x0,0x0,CritUpID
Magebane,0x359,0x409,0x0,0x6,Sword,IsWeapon,0x0,0x0,20,7,90,6,0,0x11,1,DRank,0x5,0x0,NoEffect,1,0x0,0x0,0x0
Light Brand,0x35a,0x40a,0x0,0x7,Sword,IsWeapon|MagicDamage,0x0,0x0,25,4,85,5,0,0x12,1,DRank,0x6,0x0,NoEffect,1,0x0,0x0,0x0
Shadowblade,0x35b,0x40b,0x0,0x8,Sword,IsWeapon|MagicDamage,0x0,0x0,25,7,80,7,0,0x12,1,CRank,0x7,0x0,NoEffect,1,0x0,0x0,0x0
Lancereaver,Lancereaver,0x40c,0x0,0x9,Sword,IsWeapon|ReverseTriangle,0x0,0x0,25,10,75,10,0,0x11,1,CRank,0x8,0x0,NoEffect,1,0x0,0x0,0x0
Shamshir,0x403,0x4ab,0x0,0xa,Sword,IsWeapon|SwordmasterLock,0x0,0x0,25,12,100,7,0,0x11,1,BRank,0x9,0x0,NoEffect,1,0x0,0x0,0x0
Iron Blade,IronBladeName,BladeDesc,0x0,0xb,Sword,IsWeapon,0x0,0x0,35,9,80,10,0,0x11,15,ERank,IronBladeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Steel Blade,SteelBladeName,BladeDesc,0x0,0xc,Sword,IsWeapon,0x0,0x0,25,13,70,12,0,0x11,30,DRank,SteelBladeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Blade,SilverBladeName,BladeDesc,0x0,0xd,Sword,IsWeapon,0x0,0x0,15,17,60,14,0,0x11,90,BRank,SilverBladeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Longsword,LongswordName,HorseEffectiveDesc,0x0,0xe,Sword,IsWeapon,0x0,0x0,20,9,90,7,0,0x11,40,DRank,LongswordIcon,0x0,NoEffect,1,0x0,0x0,0x0
Armorslayer,ArmorSlayerName,ArmorEffectiveDesc,0x0,0xf,Sword,IsWeapon,0x0,0x0,20,9,90,7,0,0x11,40,DRank,ArmorslayerIcon,0x0,NoEffect,1,0x0,0x0,0x0
Astra Sword,0x362,0x412,0x0,0x10,Sword,IsWeapon,0x0,0x0,40,5,110,11,0,0x11,1,ARank,0xf,0x0,NoEffect,1,0x0,0x0,0x0
Luna Sword,0x363,0x413,0x0,0x11,Sword,IsWeapon,0x0,0x0,20,10,90,8,0,0x11,1,BRank,0x10,0x0,NoEffect,1,0x0,0x0,0x0
Knight sword,0x364,0x414,0x0,0x12,Sword,IsWeapon,0x0,0x0,30,0,0,0,0,0x11,1,CRank,0x11,0x0,NoEffect,1,0x0,0x0,0x0
Man Sword,0x365,0x415,0x0,0x13,Sword,IsWeapon,0x0,0x0,40,0,0,0,0,0x11,1,ERank,0x12,0x0,NoEffect,1,0x0,0x0,0x0
Rapier,RapierName,RapierDesc,0x0,0x14,Sword,IsWeapon,0x0,0x0,25,6,105,5,0,0x11,50,CRank,RapierIcon,0x0,NoEffect,1,0x0,0x0,0x0
